TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202128495	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202128486943400.png
1606202128605	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202128595159700.png
1606202128710	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202128703092100.png
1606202128820	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202128812062600.png
1606202128926	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202128919646900.png
1606202129038	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202129028928700.png
1606202129177	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202129167547800.png
1606202129282	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202129274167700.png
1606202129391	-0.183183	1.662294	-1.587024	0.933185	-0.014982	-0.358760	0.015236	img__0_1606202129384302700.png
1606202129496	-0.183183	1.662294	-1.587024	0.932782	-0.031266	-0.358972	0.008972	img__0_1606202129489170600.png
1606202129614	-0.183183	1.662294	-1.587024	0.931643	-0.055672	-0.359083	-0.000428	img__0_1606202129604698300.png
1606202129723	-0.183183	1.662294	-1.587024	0.929867	-0.080042	-0.358949	-0.009828	img__0_1606202129714709300.png
1606202129827	-0.183183	1.662294	-1.587024	0.927453	-0.104356	-0.358569	-0.019221	img__0_1606202129818070600.png
1606202129944	-0.183183	1.662294	-1.587024	0.924403	-0.128599	-0.357943	-0.028601	img__0_1606202129934862600.png
1606202130058	-0.183183	1.662294	-1.587024	0.920720	-0.152753	-0.357071	-0.037961	img__0_1606202130049285800.png
1606202130162	-0.183183	1.662294	-1.587024	0.916406	-0.176802	-0.355955	-0.047294	img__0_1606202130154742200.png
1606202130276	-0.183183	1.662294	-1.587024	0.911464	-0.200729	-0.354595	-0.056596	img__0_1606202130267758600.png
1606202130384	-0.183183	1.662294	-1.587024	0.905898	-0.224519	-0.352992	-0.065858	img__0_1606202130377322000.png
