TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202243199	1.018082	2.931712	-1.168911	0.679903	-0.194837	-0.183070	-0.682829	img__0_1606202243191682900.png
1606202243302	1.018082	2.931712	-1.168911	0.679903	-0.194837	-0.183070	-0.682829	img__0_1606202243295481300.png
1606202243413	1.018082	2.931712	-1.168911	0.679903	-0.194837	-0.183070	-0.682829	img__0_1606202243405774500.png
1606202243523	1.018082	2.931712	-1.168911	0.679903	-0.194837	-0.183070	-0.682829	img__0_1606202243514599900.png
1606202243630	1.018082	2.931712	-1.168911	0.679903	-0.194837	-0.183070	-0.682829	img__0_1606202243622020200.png
1606202243741	1.018082	2.931712	-1.168911	0.679903	-0.194837	-0.183070	-0.682829	img__0_1606202243732459500.png
1606202243844	1.018082	2.931712	-1.168911	0.679903	-0.194837	-0.183070	-0.682829	img__0_1606202243835497500.png
1606202243954	1.018082	2.931712	-1.168911	0.683200	-0.182941	-0.194959	-0.679530	img__0_1606202243946271200.png
1606202244059	1.018082	2.931712	-1.168911	0.687755	-0.164995	-0.212680	-0.674194	img__0_1606202244050795600.png
1606202244170	1.018082	2.931712	-1.168911	0.691838	-0.146935	-0.230256	-0.668396	img__0_1606202244161455100.png
1606202244273	1.018082	2.931712	-1.168911	0.695447	-0.128774	-0.247674	-0.662139	img__0_1606202244266393900.png
1606202244390	1.018082	2.931712	-1.168911	0.698580	-0.110524	-0.264923	-0.655429	img__0_1606202244381424600.png
1606202244499	1.018082	2.931712	-1.168911	0.701234	-0.092199	-0.281990	-0.648269	img__0_1606202244491086200.png
1606202244610	1.018082	2.931712	-1.168911	0.703407	-0.073811	-0.298863	-0.640665	img__0_1606202244600341900.png
1606202244721	1.018082	2.931712	-1.168911	0.705098	-0.055373	-0.315531	-0.632622	img__0_1606202244714506000.png
1606202244836	1.018082	2.931712	-1.168911	0.706306	-0.036897	-0.331982	-0.624146	img__0_1606202244828030900.png
1606202244940	1.018082	2.931712	-1.168911	0.707030	-0.018396	-0.348206	-0.615242	img__0_1606202244932214700.png
