TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202053214	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053205911600.png
1606202053322	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053312997500.png
1606202053431	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053419866900.png
1606202053530	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053523039800.png
1606202053644	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053633622100.png
1606202053785	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053776449500.png
1606202053890	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053883729200.png
1606202053999	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202053992677300.png
1606202054108	0.311021	0.563801	-1.997677	0.790120	0.219833	-0.388519	0.420045	img__0_1606202054100691700.png
1606202054219	0.311021	0.563801	-1.997677	0.795604	0.199074	-0.399381	0.409730	img__0_1606202054211459100.png
1606202054328	0.311021	0.563801	-1.997677	0.800543	0.178179	-0.409970	0.399135	img__0_1606202054319281500.png
1606202054440	0.311021	0.563801	-1.997677	0.804933	0.157162	-0.420277	0.388266	img__0_1606202054433313100.png
1606202054547	0.311021	0.563801	-1.997677	0.808772	0.136036	-0.430296	0.377130	img__0_1606202054538077000.png
1606202054661	0.311021	0.563801	-1.997677	0.812056	0.114817	-0.440021	0.365736	img__0_1606202054650148200.png
1606202054772	0.311021	0.563801	-1.997677	0.814784	0.093520	-0.449445	0.354092	img__0_1606202054762674000.png
1606202054882	0.311021	0.563801	-1.997677	0.816953	0.072159	-0.458560	0.342205	img__0_1606202054872464500.png
1606202054988	0.311021	0.563801	-1.997677	0.818562	0.050748	-0.467360	0.330084	img__0_1606202054980803600.png
1606202055094	0.311021	0.563801	-1.997677	0.819610	0.029304	-0.475840	0.317737	img__0_1606202055086793500.png
1606202055205	0.311021	0.563801	-1.997677	0.820096	0.007840	-0.483994	0.305172	img__0_1606202055197739000.png
1606202055314	0.311021	0.563801	-1.997677	0.820021	-0.013631	-0.491816	0.292398	img__0_1606202055306674500.png
1606202055424	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202055416557500.png
1606202055534	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202055524111800.png
1606202055641	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202055632083500.png
1606202055748	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202055740499200.png
1606202055857	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202055850045200.png
1606202055966	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202055958130400.png
1606202056074	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056067610100.png
1606202056182	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056173006200.png
1606202056254	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056246586900.png
1606202056366	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056357175500.png
1606202056472	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056463705500.png
1606202056579	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056571286200.png
1606202056684	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056675694800.png
1606202056794	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056785925900.png
1606202056900	0.311021	0.563801	-1.997677	0.819383	-0.035093	-0.499302	0.279422	img__0_1606202056891272000.png
