TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202186364	-0.607241	2.418889	-0.274838	0.968628	-0.006294	-0.061334	-0.240746	img__0_1606202186352954300.png
1606202186469	-0.607241	2.418889	-0.274838	0.968628	-0.006294	-0.061334	-0.240746	img__0_1606202186461165800.png
1606202186583	-0.607241	2.418889	-0.274838	0.968628	-0.006294	-0.061334	-0.240746	img__0_1606202186570862500.png
1606202186695	-0.607241	2.418889	-0.274838	0.968628	-0.006294	-0.061334	-0.240746	img__0_1606202186683467000.png
1606202186805	-0.607241	2.418889	-0.274838	0.968628	-0.006294	-0.061334	-0.240746	img__0_1606202186796147400.png
1606202186915	-0.607241	2.418889	-0.274838	0.968628	-0.006294	-0.061334	-0.240746	img__0_1606202186905162900.png
1606202187028	-0.607241	2.418889	-0.274838	0.968628	-0.006294	-0.061334	-0.240746	img__0_1606202187016706500.png
1606202187141	-0.607241	2.418889	-0.274838	0.968371	-0.023198	-0.057123	-0.241779	img__0_1606202187129504500.png
1606202187247	-0.607241	2.418889	-0.274838	0.967432	-0.048539	-0.050774	-0.243191	img__0_1606202187240041800.png
1606202187358	-0.607241	2.418889	-0.274838	0.965830	-0.073847	-0.044391	-0.244436	img__0_1606202187350637700.png
1606202187474	-0.607241	2.418889	-0.274838	0.963566	-0.099104	-0.037977	-0.245513	img__0_1606202187465523000.png
1606202187580	-0.607241	2.418889	-0.274838	0.960642	-0.124294	-0.031537	-0.246423	img__0_1606202187571131400.png
1606202187693	-0.607241	2.418889	-0.274838	0.957059	-0.149399	-0.025075	-0.247163	img__0_1606202187684562200.png
1606202187813	-0.607241	2.418889	-0.274838	0.952820	-0.174401	-0.018597	-0.247734	img__0_1606202187799380900.png
1606202187926	-0.607241	2.418889	-0.274838	0.947929	-0.199283	-0.012106	-0.248135	img__0_1606202187917490700.png
1606202188041	-0.607241	2.418889	-0.274838	0.942388	-0.224027	-0.005607	-0.248366	img__0_1606202188032944800.png
1606202188155	-0.607241	2.418889	-0.274838	0.936201	-0.248619	0.000896	-0.248427	img__0_1606202188145495600.png
1606202188257	-0.607241	2.418889	-0.274838	0.929372	-0.273040	0.007399	-0.248318	img__0_1606202188250646000.png
1606202188378	-0.607241	2.418889	-0.274838	0.929372	-0.273040	0.007399	-0.248318	img__0_1606202188366220700.png
1606202188475	-0.607241	2.418889	-0.274838	0.929372	-0.273040	0.007399	-0.248318	img__0_1606202188468122900.png
1606202188589	-0.607241	2.418889	-0.274838	0.929372	-0.273040	0.007399	-0.248318	img__0_1606202188582133100.png
1606202188710	-0.607241	2.418889	-0.274838	0.929372	-0.273040	0.007399	-0.248318	img__0_1606202188696245900.png
1606202188816	-0.607241	2.418889	-0.274838	0.929372	-0.273040	0.007399	-0.248318	img__0_1606202188806354000.png
