TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202214830	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202214818946200.png
1606202214934	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202214927540600.png
1606202215048	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215035045300.png
1606202215198	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215185851200.png
1606202215310	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215300068000.png
1606202215409	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215402888000.png
1606202215520	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215513611800.png
1606202215625	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215617645000.png
1606202215737	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215728443900.png
1606202215839	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215832450700.png
1606202215954	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043671	-0.699419	img__0_1606202215947137700.png
1606202216060	1.036552	3.308553	-0.281033	0.710740	-0.061273	-0.037565	-0.699774	img__0_1606202216051933100.png
1606202216171	1.036552	3.308553	-0.281033	0.708893	-0.079857	-0.019235	-0.700517	img__0_1606202216163198000.png
1606202216279	1.036552	3.308553	-0.281033	0.706559	-0.098386	-0.000891	-0.700780	img__0_1606202216269284900.png
1606202216400	1.036552	3.308553	-0.281033	0.703742	-0.116849	0.017455	-0.700564	img__0_1606202216393133000.png
1606202216514	1.036552	3.308553	-0.281033	0.700442	-0.135231	0.035788	-0.699867	img__0_1606202216502268900.png
1606202216617	1.036552	3.308553	-0.281033	0.696662	-0.153521	0.054097	-0.698690	img__0_1606202216609935300.png
1606202216722	1.036552	3.308553	-0.281033	0.692404	-0.171705	0.072368	-0.697034	img__0_1606202216715176600.png
1606202216847	1.036552	3.308553	-0.281033	0.687672	-0.189771	0.090589	-0.694901	img__0_1606202216833261100.png
1606202216953	1.036552	3.308553	-0.281033	0.682469	-0.207706	0.108747	-0.692292	img__0_1606202216940932700.png
1606202217053	1.036552	3.308553	-0.281033	0.676798	-0.225500	0.126832	-0.689208	img__0_1606202217046524600.png
1606202217167	1.036552	3.308553	-0.281033	0.670663	-0.243139	0.144830	-0.685652	img__0_1606202217160277400.png
1606202217275	1.036552	3.308553	-0.281033	0.664069	-0.260612	0.162729	-0.681625	img__0_1606202217265815700.png
1606202217386	1.036552	3.308553	-0.281033	0.657019	-0.277906	0.180516	-0.677132	img__0_1606202217378612300.png
1606202217498	1.036552	3.308553	-0.281033	0.649520	-0.295009	0.198179	-0.672175	img__0_1606202217488014100.png
1606202217600	1.036552	3.308553	-0.281033	0.649520	-0.295009	0.198179	-0.672175	img__0_1606202217593337300.png
1606202217717	1.036552	3.308553	-0.281033	0.649520	-0.295009	0.198179	-0.672175	img__0_1606202217705111500.png
1606202217818	1.036552	3.308553	-0.281033	0.649520	-0.295009	0.198179	-0.672175	img__0_1606202217811138000.png
1606202217922	1.036552	3.308553	-0.281033	0.649520	-0.295009	0.198179	-0.672175	img__0_1606202217915266100.png
1606202218040	1.036552	3.308553	-0.281033	0.652069	-0.289330	0.192305	-0.673879	img__0_1606202218028213600.png
1606202218144	1.036552	3.308553	-0.281033	0.659420	-0.272161	0.174599	-0.678682	img__0_1606202218136160700.png
1606202218253	1.036552	3.308553	-0.281033	0.666318	-0.254806	0.156774	-0.683020	img__0_1606202218246946600.png
1606202218366	1.036552	3.308553	-0.281033	0.672760	-0.237277	0.138841	-0.686889	img__0_1606202218354926300.png
1606202218473	1.036552	3.308553	-0.281033	0.678741	-0.219585	0.120813	-0.690289	img__0_1606202218463376900.png
1606202218580	1.036552	3.308553	-0.281033	0.684256	-0.201742	0.102701	-0.693215	img__0_1606202218573076100.png
1606202218691	1.036552	3.308553	-0.281033	0.689303	-0.183760	0.084519	-0.695666	img__0_1606202218682924500.png
1606202218799	1.036552	3.308553	-0.281033	0.693877	-0.165653	0.066279	-0.697640	img__0_1606202218792594200.png
1606202218905	1.036552	3.308553	-0.281033	0.697975	-0.147433	0.047995	-0.699136	img__0_1606202218898247300.png
1606202219015	1.036552	3.308553	-0.281033	0.701595	-0.129113	0.029678	-0.700152	img__0_1606202219008991000.png
1606202219129	1.036552	3.308553	-0.281033	0.704735	-0.110703	0.011341	-0.700689	img__0_1606202219118121800.png
1606202219233	1.036552	3.308553	-0.281033	0.707391	-0.092218	-0.007005	-0.700746	img__0_1606202219225859100.png
1606202219345	1.036552	3.308553	-0.281033	0.709562	-0.073669	-0.025346	-0.700323	img__0_1606202219333338300.png
1606202219455	1.036552	3.308553	-0.281033	0.711248	-0.055069	-0.043670	-0.699419	img__0_1606202219444441000.png
1606202219558	1.036552	3.308553	-0.281033	0.712446	-0.036432	-0.061963	-0.698036	img__0_1606202219549745700.png
1606202219663	1.036552	3.308553	-0.281033	0.713155	-0.017770	-0.080215	-0.696175	img__0_1606202219655133100.png
1606202219772	1.036552	3.308553	-0.281033	0.713376	0.000904	-0.098411	-0.693837	img__0_1606202219765013000.png
1606202219888	1.036552	3.308553	-0.281033	0.713108	0.019579	-0.116540	-0.691023	img__0_1606202219880499900.png
1606202220010	1.036552	3.308553	-0.281033	0.712351	0.038240	-0.134590	-0.687735	img__0_1606202219997106600.png
1606202220117	1.036552	3.308553	-0.281033	0.711106	0.056874	-0.152547	-0.683976	img__0_1606202220103513100.png
1606202220221	1.036552	3.308553	-0.281033	0.709373	0.075470	-0.170399	-0.679748	img__0_1606202220212283200.png
1606202220330	1.036552	3.308553	-0.281033	0.707155	0.094012	-0.188134	-0.675055	img__0_1606202220320601900.png
1606202220442	1.036552	3.308553	-0.281033	0.704451	0.112491	-0.205740	-0.669899	img__0_1606202220431851200.png
1606202220543	1.036552	3.308553	-0.281033	0.701265	0.130892	-0.223205	-0.664284	img__0_1606202220535277300.png
1606202220662	1.036552	3.308553	-0.281033	0.697599	0.149205	-0.240518	-0.658214	img__0_1606202220650874800.png
1606202220758	1.036552	3.308553	-0.281033	0.694888	0.161357	-0.251969	-0.653916	img__0_1606202220751794700.png
1606202220869	1.036552	3.308553	-0.281033	0.694888	0.161357	-0.251969	-0.653916	img__0_1606202220862266000.png
1606202220982	1.036552	3.308553	-0.281033	0.694888	0.161357	-0.251969	-0.653916	img__0_1606202220971197000.png
1606202221085	1.036552	3.308553	-0.281033	0.694888	0.161357	-0.251969	-0.653916	img__0_1606202221077669600.png
1606202221189	1.036552	3.308553	-0.281033	0.697598	0.149205	-0.240519	-0.658213	img__0_1606202221182720900.png
1606202221300	1.036552	3.308553	-0.281033	0.701265	0.130894	-0.223207	-0.664284	img__0_1606202221292892500.png
1606202221410	1.036552	3.308553	-0.281033	0.704451	0.112491	-0.205741	-0.669899	img__0_1606202221402239800.png
1606202221518	1.036552	3.308553	-0.281033	0.707155	0.094011	-0.188133	-0.675055	img__0_1606202221511560100.png
1606202221632	1.036552	3.308553	-0.281033	0.709373	0.075468	-0.170398	-0.679749	img__0_1606202221621293000.png
1606202221744	1.036552	3.308553	-0.281033	0.711106	0.056873	-0.152546	-0.683976	img__0_1606202221732442200.png
1606202221846	1.036552	3.308553	-0.281033	0.712351	0.038240	-0.134590	-0.687735	img__0_1606202221834422500.png
1606202221954	1.036552	3.308553	-0.281033	0.713108	0.019580	-0.116542	-0.691023	img__0_1606202221946582000.png
1606202222074	1.036552	3.308553	-0.281033	0.713376	0.000907	-0.098413	-0.693836	img__0_1606202222063256400.png
1606202222180	1.036552	3.308553	-0.281033	0.713155	-0.017768	-0.080217	-0.696175	img__0_1606202222173423900.png
1606202222290	1.036552	3.308553	-0.281033	0.712446	-0.036430	-0.061966	-0.698036	img__0_1606202222282284300.png
1606202222406	1.036552	3.308553	-0.281033	0.711248	-0.055067	-0.043672	-0.699419	img__0_1606202222394937300.png
1606202222515	1.036552	3.308553	-0.281033	0.709563	-0.073666	-0.025349	-0.700322	img__0_1606202222504766900.png
1606202222621	1.036552	3.308553	-0.281033	0.707391	-0.092215	-0.007008	-0.700746	img__0_1606202222612911200.png
1606202222728	1.036552	3.308553	-0.281033	0.704735	-0.110702	0.011339	-0.700689	img__0_1606202222718845700.png
1606202222842	1.036552	3.308553	-0.281033	0.701595	-0.129112	0.029677	-0.700152	img__0_1606202222832476400.png
1606202222954	1.036552	3.308553	-0.281033	0.697975	-0.147434	0.047996	-0.699135	img__0_1606202222940771700.png
1606202223053	1.036552	3.308553	-0.281033	0.693876	-0.165655	0.066281	-0.697640	img__0_1606202223046475900.png
1606202223165	1.036552	3.308553	-0.281033	0.689302	-0.183761	0.084520	-0.695665	img__0_1606202223158187900.png
