TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202067493	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202067485256300.png
1606202067604	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202067596915800.png
1606202067707	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202067698495900.png
1606202067819	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202067812602100.png
1606202067928	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202067920929800.png
1606202068037	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202068030295000.png
1606202068143	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202068135710600.png
1606202068254	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202068246438800.png
1606202068362	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202068354833300.png
1606202068472	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202068464465400.png
1606202068576	0.000000	0.000000	-0.000000	0.902585	-0.000000	0.000000	0.430512	img__0_1606202068568539300.png
1606202068689	0.000000	0.000000	-0.000000	0.902447	-0.015752	-0.007513	0.430447	img__0_1606202068679154300.png
1606202068795	0.000000	0.000000	-0.000000	0.901725	-0.039370	-0.018779	0.430104	img__0_1606202068786598600.png
1606202068908	0.000000	0.000000	-0.000000	0.900385	-0.062961	-0.030031	0.429466	img__0_1606202068898617500.png
1606202069025	0.000000	0.000000	-0.000000	0.898428	-0.086510	-0.041263	0.428533	img__0_1606202069018042400.png
1606202069142	0.000000	0.000000	-0.000000	0.895855	-0.109999	-0.052467	0.427307	img__0_1606202069133983500.png
1606202069246	0.000000	0.000000	-0.000000	0.892668	-0.133412	-0.063636	0.425788	img__0_1606202069238288600.png
1606202069357	0.000000	0.000000	-0.000000	0.888869	-0.156734	-0.074760	0.423977	img__0_1606202069349732100.png
1606202069467	0.000000	0.000000	-0.000000	0.884462	-0.179948	-0.085832	0.421876	img__0_1606202069459399100.png
1606202069578	0.000000	0.000000	-0.000000	0.879448	-0.203037	-0.096846	0.419485	img__0_1606202069569602400.png
1606202069687	0.000000	0.000000	-0.000000	0.873831	-0.225989	-0.107794	0.416807	img__0_1606202069679402800.png
1606202069797	0.000000	0.000000	-0.000000	0.867616	-0.248786	-0.118668	0.413844	img__0_1606202069790599100.png
1606202069915	0.000000	0.000000	-0.000000	0.860805	-0.271413	-0.129461	0.410596	img__0_1606202069906352000.png
1606202070023	0.000000	0.000000	-0.000000	0.853405	-0.293852	-0.140165	0.407068	img__0_1606202070015653400.png
1606202070128	0.000000	0.000000	-0.000000	0.853405	-0.293852	-0.140165	0.407068	img__0_1606202070121476500.png
1606202070239	0.000000	0.000000	-0.000000	0.853405	-0.293852	-0.140165	0.407068	img__0_1606202070232858200.png
1606202070347	0.000000	0.000000	-0.000000	0.853405	-0.293852	-0.140165	0.407068	img__0_1606202070338390700.png
1606202070460	0.000000	0.000000	-0.000000	0.853405	-0.293852	-0.140165	0.407068	img__0_1606202070452899300.png
1606202070567	0.000000	0.000000	-0.000000	0.853405	-0.293852	-0.140165	0.407068	img__0_1606202070560308300.png
1606202070679	0.000000	0.000000	-0.000000	0.853405	-0.293852	-0.140165	0.407068	img__0_1606202070670873400.png
1606202070790	0.000000	0.000000	-0.000000	0.860805	-0.271411	-0.129461	0.410598	img__0_1606202070780313600.png
1606202070898	0.000000	0.000000	-0.000000	0.867614	-0.248786	-0.118670	0.413847	img__0_1606202070889716900.png
1606202071007	0.000000	0.000000	-0.000000	0.873828	-0.225989	-0.107796	0.416812	img__0_1606202070999167400.png
1606202071116	0.000000	0.000000	-0.000000	0.879445	-0.203037	-0.096848	0.419492	img__0_1606202071108513600.png
1606202071226	0.000000	0.000000	-0.000000	0.884458	-0.179945	-0.085834	0.421885	img__0_1606202071218268100.png
1606202071337	0.000000	0.000000	-0.000000	0.888865	-0.156731	-0.074760	0.423988	img__0_1606202071329539800.png
1606202071447	0.000000	0.000000	-0.000000	0.892663	-0.133410	-0.063636	0.425800	img__0_1606202071438963300.png
1606202071558	0.000000	0.000000	-0.000000	0.895848	-0.109997	-0.052469	0.427321	img__0_1606202071549119500.png
