TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202268398	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202268386757900.png
1606202268502	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202268495381200.png
1606202268606	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202268598442100.png
1606202268718	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202268709770100.png
1606202268820	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202268812457100.png
1606202268935	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202268925356000.png
1606202269042	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202269033988500.png
1606202269144	2.571981	2.698498	-1.170252	0.313978	-0.252641	-0.087085	-0.911047	img__0_1606202269137660700.png
1606202269255	2.571981	2.698498	-1.170252	0.316171	-0.249891	-0.095032	-0.910252	img__0_1606202269247005700.png
1606202269358	2.571981	2.698498	-1.170252	0.322603	-0.241529	-0.118826	-0.907453	img__0_1606202269351268900.png
1606202269470	2.571981	2.698498	-1.170252	0.328815	-0.233002	-0.142540	-0.904032	img__0_1606202269462878700.png
1606202269574	2.571981	2.698498	-1.170252	0.334801	-0.224315	-0.166157	-0.899991	img__0_1606202269567790700.png
1606202269692	2.571981	2.698498	-1.170252	0.340558	-0.215473	-0.189659	-0.895333	img__0_1606202269681350800.png
1606202269801	2.571981	2.698498	-1.170252	0.346081	-0.206485	-0.213032	-0.890061	img__0_1606202269792203200.png
1606202269912	2.571981	2.698498	-1.170252	0.351367	-0.197354	-0.236259	-0.884180	img__0_1606202269905533600.png
1606202270033	2.571981	2.698498	-1.170252	0.356412	-0.188089	-0.259322	-0.877693	img__0_1606202270024665400.png
1606202270136	2.571981	2.698498	-1.170252	0.361213	-0.178696	-0.282208	-0.870604	img__0_1606202270129076800.png
1606202270249	2.571981	2.698498	-1.170252	0.365766	-0.169180	-0.304900	-0.862919	img__0_1606202270239374000.png
1606202270355	2.571981	2.698498	-1.170252	0.370069	-0.159547	-0.327384	-0.854642	img__0_1606202270348475100.png
1606202270464	2.571981	2.698498	-1.170252	0.374118	-0.149805	-0.349644	-0.845780	img__0_1606202270457506900.png
1606202270576	2.571981	2.698498	-1.170252	0.377910	-0.139961	-0.371664	-0.836338	img__0_1606202270564297100.png
