TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202303650	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202303642765300.png
1606202303754	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202303746943000.png
1606202303868	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202303859033500.png
1606202303970	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202303962775200.png
1606202304082	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304074793300.png
1606202304185	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304177964000.png
1606202304290	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304282807400.png
1606202304400	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304392407800.png
1606202304505	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304495814100.png
1606202304613	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304605736500.png
1606202304723	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304713733100.png
1606202304825	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304817822100.png
1606202304937	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202304927474800.png
1606202305044	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202305035288200.png
1606202305153	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202305144028100.png
1606202305271	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202305263498400.png
1606202305381	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202305372738600.png
1606202305485	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202305477641200.png
1606202305599	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202305590884100.png
1606202305702	2.477045	1.528197	-0.093510	-0.000014	-0.026166	0.008695	-0.999620	img__0_1606202305693767400.png
1606202305808	2.477045	1.528197	-0.093510	0.000214	-0.026165	-0.000028	-0.999658	img__0_1606202305799674400.png
1606202305918	2.477045	1.528197	-0.093510	0.000899	-0.026151	-0.026196	-0.999314	img__0_1606202305909807700.png
1606202306021	2.477045	1.528197	-0.093510	0.001583	-0.026118	-0.052346	-0.998286	img__0_1606202306013538500.png
1606202306131	2.477045	1.528197	-0.093510	0.002266	-0.026068	-0.078461	-0.996574	img__0_1606202306124222300.png
1606202306236	2.477045	1.528197	-0.093510	0.002948	-0.025999	-0.104522	-0.994178	img__0_1606202306228363800.png
1606202306347	2.477045	1.528197	-0.093510	0.003628	-0.025913	-0.130512	-0.991101	img__0_1606202306338126700.png
1606202306460	2.477045	1.528197	-0.093510	0.004305	-0.025810	-0.156412	-0.987345	img__0_1606202306451259700.png
1606202306567	2.477045	1.528197	-0.093510	0.004979	-0.025688	-0.182204	-0.982913	img__0_1606202306558153700.png
1606202306670	2.477045	1.528197	-0.093510	0.005650	-0.025549	-0.207870	-0.977806	img__0_1606202306662828700.png
1606202306780	2.477045	1.528197	-0.093510	0.006316	-0.025392	-0.233394	-0.972030	img__0_1606202306773061000.png
1606202306884	2.477045	1.528197	-0.093510	0.006979	-0.025218	-0.258758	-0.965588	img__0_1606202306876989500.png
1606202306996	2.477045	1.528197	-0.093510	0.006979	-0.025218	-0.258758	-0.965588	img__0_1606202306986874100.png
1606202307101	2.477045	1.528197	-0.093510	0.006979	-0.025218	-0.258758	-0.965588	img__0_1606202307094649400.png
1606202307205	2.477045	1.528197	-0.093510	0.006979	-0.025218	-0.258758	-0.965588	img__0_1606202307197731500.png
1606202307315	2.477045	1.528197	-0.093510	0.006316	-0.025392	-0.233393	-0.972030	img__0_1606202307307749600.png
1606202307419	2.477045	1.528197	-0.093510	0.005650	-0.025549	-0.207867	-0.977807	img__0_1606202307411919500.png
1606202307530	2.477045	1.528197	-0.093510	0.004979	-0.025688	-0.182199	-0.982913	img__0_1606202307522972400.png
1606202307635	2.477045	1.528197	-0.093510	0.004305	-0.025810	-0.156407	-0.987346	img__0_1606202307626768000.png
1606202307746	2.477045	1.528197	-0.093510	0.003628	-0.025913	-0.130508	-0.991102	img__0_1606202307737850200.png
1606202307854	2.477045	1.528197	-0.093510	0.002948	-0.026000	-0.104521	-0.994178	img__0_1606202307846245700.png
1606202307962	2.477045	1.528197	-0.093510	0.002266	-0.026068	-0.078461	-0.996574	img__0_1606202307953780800.png
1606202308072	2.477045	1.528197	-0.093510	0.001583	-0.026118	-0.052347	-0.998286	img__0_1606202308062794300.png
