TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
1606202343245	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202343236631000.png
1606202343353	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202343344855400.png
1606202343461	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202343453263600.png
1606202343569	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202343562074200.png
1606202343675	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202343666345700.png
1606202343783	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202343776148400.png
1606202343895	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202343888514400.png
1606202344013	2.404558	0.471177	-0.074991	0.291842	0.027578	0.000721	0.956069	img__0_1606202344002984000.png
1606202344126	2.404558	0.471177	-0.074991	0.292072	0.025031	-0.007622	0.956038	img__0_1606202344115825900.png
1606202344233	2.404558	0.471177	-0.074991	0.292628	0.017376	-0.032645	0.955511	img__0_1606202344226513600.png
1606202344347	2.404558	0.471177	-0.074991	0.292982	0.009710	-0.057647	0.954329	img__0_1606202344340086700.png
1606202344459	2.404558	0.471177	-0.074991	0.293137	0.002037	-0.082609	0.952493	img__0_1606202344446253800.png
1606202344565	2.404558	0.471177	-0.074991	0.293090	-0.005637	-0.107515	0.950004	img__0_1606202344556576500.png
1606202344670	2.404558	0.471177	-0.074991	0.292842	-0.013308	-0.132347	0.946864	img__0_1606202344661512700.png
1606202344785	2.404558	0.471177	-0.074991	0.292394	-0.020969	-0.157088	0.943075	img__0_1606202344777046600.png
1606202344897	2.404558	0.471177	-0.074991	0.291745	-0.028616	-0.181721	0.938639	img__0_1606202344890110600.png
1606202345010	2.404558	0.471177	-0.074991	0.290896	-0.036243	-0.206229	0.933561	img__0_1606202344998210000.png
1606202345122	2.404558	0.471177	-0.074991	0.289849	-0.043845	-0.230595	0.927842	img__0_1606202345108450800.png
1606202345219	2.404558	0.471177	-0.074991	0.288602	-0.051417	-0.254804	0.921488	img__0_1606202345212163300.png
1606202345330	2.404558	0.471177	-0.074991	0.287158	-0.058955	-0.278839	0.914502	img__0_1606202345322871000.png
1606202345434	2.404558	0.471177	-0.074991	0.285517	-0.066452	-0.302682	0.906889	img__0_1606202345427507400.png
1606202345547	2.404558	0.471177	-0.074991	0.285517	-0.066452	-0.302682	0.906889	img__0_1606202345540631600.png
1606202345651	2.404558	0.471177	-0.074991	0.286087	-0.063958	-0.294757	0.909496	img__0_1606202345643990200.png
1606202345764	2.404558	0.471177	-0.074991	0.287664	-0.056448	-0.270849	0.916899	img__0_1606202345754586400.png
1606202345871	2.404558	0.471177	-0.074991	0.289044	-0.048899	-0.246754	0.923675	img__0_1606202345863578800.png
1606202345980	2.404558	0.471177	-0.074991	0.290226	-0.041316	-0.222490	0.929817	img__0_1606202345972300800.png
1606202346084	2.404558	0.471177	-0.074991	0.291208	-0.033704	-0.198073	0.935323	img__0_1606202346076243000.png
1606202346205	2.404558	0.471177	-0.074991	0.291992	-0.026070	-0.173521	0.940187	img__0_1606202346191141100.png
1606202346307	2.404558	0.471177	-0.074991	0.292575	-0.018418	-0.148851	0.944407	img__0_1606202346299997500.png
1606202346420	2.404558	0.471177	-0.074991	0.292958	-0.010753	-0.124079	0.947979	img__0_1606202346411218900.png
1606202346522	2.404558	0.471177	-0.074991	0.293140	-0.003081	-0.099222	0.950902	img__0_1606202346515306700.png
1606202346642	2.404558	0.471177	-0.074991	0.293121	0.004593	-0.074297	0.953173	img__0_1606202346629451800.png
1606202346752	2.404558	0.471177	-0.074991	0.292900	0.012265	-0.049320	0.954791	img__0_1606202346744354900.png
1606202346871	2.404558	0.471177	-0.074991	0.292479	0.019928	-0.024310	0.955755	img__0_1606202346856370500.png
1606202346966	2.404558	0.471177	-0.074991	0.291857	0.027577	0.000717	0.956064	img__0_1606202346960133500.png
1606202347079	2.404558	0.471177	-0.074991	0.291036	0.035208	0.025744	0.955717	img__0_1606202347071637000.png
1606202347183	2.404558	0.471177	-0.074991	0.290015	0.042814	0.050753	0.954716	img__0_1606202347175805000.png
1606202347293	2.404558	0.471177	-0.074991	0.288795	0.050391	0.075728	0.953060	img__0_1606202347285950200.png
1606202347401	2.404558	0.471177	-0.074991	0.287378	0.057934	0.100651	0.950751	img__0_1606202347394488400.png
1606202347508	2.404558	0.471177	-0.074991	0.285764	0.065437	0.125505	0.947790	img__0_1606202347499231000.png
1606202347616	2.404558	0.471177	-0.074991	0.283954	0.072896	0.150272	0.944179	img__0_1606202347609356800.png
1606202347734	2.404558	0.471177	-0.074991	0.281949	0.080304	0.174936	0.939922	img__0_1606202347722128000.png
1606202347841	2.404558	0.471177	-0.074991	0.279750	0.087656	0.199479	0.935021	img__0_1606202347829498900.png
1606202347952	2.404558	0.471177	-0.074991	0.278178	0.092525	0.215767	0.931397	img__0_1606202347940755000.png
1606202348058	2.404558	0.471177	-0.074991	0.278178	0.092525	0.215767	0.931397	img__0_1606202348046449400.png
1606202348165	2.404558	0.471177	-0.074991	0.278178	0.092525	0.215767	0.931397	img__0_1606202348157311200.png
1606202348269	2.404558	0.471177	-0.074991	0.280505	0.085212	0.191311	0.936726	img__0_1606202348261697200.png
1606202348382	2.404558	0.471177	-0.074991	0.282640	0.077839	0.166724	0.941413	img__0_1606202348374688900.png
1606202348488	2.404558	0.471177	-0.074991	0.284582	0.070414	0.142023	0.945455	img__0_1606202348479293400.png
1606202348596	2.404558	0.471177	-0.074991	0.286328	0.062941	0.117226	0.948848	img__0_1606202348589351900.png
1606202348703	2.404558	0.471177	-0.074991	0.287878	0.055425	0.092349	0.951591	img__0_1606202348694804500.png
1606202348814	2.404558	0.471177	-0.074991	0.289230	0.047870	0.067408	0.953683	img__0_1606202348806732500.png
1606202348918	2.404558	0.471177	-0.074991	0.290384	0.040283	0.042421	0.955120	img__0_1606202348911107600.png
1606202349030	2.404558	0.471177	-0.074991	0.291339	0.032667	0.017405	0.955903	img__0_1606202349022987400.png
1606202349134	2.404558	0.471177	-0.074991	0.292095	0.025030	-0.007624	0.956032	img__0_1606202349126509100.png
1606202349245	2.404558	0.471177	-0.074991	0.292651	0.017375	-0.032647	0.955504	img__0_1606202349237928800.png
1606202349354	2.404558	0.471177	-0.074991	0.293005	0.009708	-0.057648	0.954322	img__0_1606202349346556500.png
1606202349463	2.404558	0.471177	-0.074991	0.293159	0.002035	-0.082610	0.952486	img__0_1606202349456012700.png
1606202349567	2.404558	0.471177	-0.074991	0.293113	-0.005640	-0.107516	0.949996	img__0_1606202349560669100.png
1606202349685	2.404558	0.471177	-0.074991	0.292866	-0.013311	-0.132348	0.946856	img__0_1606202349674728500.png
